,id,title,author,authoryearofbirth,authoryearofdeath,gr_pubDate,date,age,yearsToDeath
6,13909.0,"The Indiscretion of the Duchess: Being a Story Concerning Two Ladies, a Nobleman, and a Necklace","Hope, Anthony",1863,1933,1894--,1894,31,39
7,14755.0,Father Stafford,"Hope, Anthony",1863,1933,1891--,1891,28,42
8,19752.0,Quisanté,"Hope, Anthony",1863,1933,1900--,1900,37,33
9,20328.0,Simon Dale,"Hope, Anthony",1863,1933,1897--,1897,34,36
12,24034.0,The King's Mirror,"Hope, Anthony",1863,1933,1898--,1898,35,35
13,24985.0,Comedies of Courtship,"Hope, Anthony",1863,1933,1896-1-1,1896,33,37
14,28935.0,Captain Dieppe,"Hope, Anthony",1863,1933,1900--,1900,37,33
15,33293.0,The Great Miss Driver,"Hope, Anthony",1863,1933,1908--,1908,45,25
19,40414.0,Sophy of Kravonia: A Novel,"Hope, Anthony",1863,1933,1906--,1906,43,27
20,40570.0,The Chronicles of Count Antonio,"Hope, Anthony",1863,1933,1895--,1895,32,38
24,41438.0,The Heart of Princess Osra,"Hope, Anthony",1863,1933,1896--,1896,33,37
25,41599.0,Mr. Witt's Widow: A Frivolous Tale,"Hope, Anthony",1863,1933,1912-5-1,1912,49,21
26,41822.0,Phroso: A Romance,"Hope, Anthony",1863,1933,1897--,1897,34,36
29,45749.0,A Change of Air,"Hope, Anthony",1863,1933,1894-7-1,1894,31,39
0,2868.0,The Green Mummy,"Hume, Fergus",1859,1932,1908--,1908,49,24
1,4223.0,The Mystery of a Hansom Cab,"Hume, Fergus",1859,1932,1886--,1886,27,46
2,4531.0,The Secret Passage,"Hume, Fergus",1859,1932,1905--,1905,46,27
3,4946.0,Madame Midas,"Hume, Fergus",1859,1932,1888--,1888,29,44
4,15356.0,Red Money,"Hume, Fergus",1859,1932,1912--,1912,53,20
5,19069.0,The Silent House,"Hume, Fergus",1859,1932,1899--,1899,40,33
6,23474.0,The Bishop's Secret,"Hume, Fergus",1859,1932,1900--,1900,41,32
7,24769.0,The Opal Serpent,"Hume, Fergus",1859,1932,1905--,1905,46,27
9,34835.0,The Pagan's Cup,"Hume, Fergus",1859,1932,1902--,1902,43,30
10,35146.0,The Solitary Farm,"Hume, Fergus",1859,1932,1909-7-15,1909,50,23
11,35240.0,A Woman's Burden: A Novel,"Hume, Fergus",1859,1932,1901--,1901,42,31
12,36346.0,The Mandarin's Fan,"Hume, Fergus",1859,1932,1904--,1904,45,28
13,41071.0,A Son of Perdition: An Occult Romance,"Hume, Fergus",1859,1932,1912--,1912,53,20
14,42056.0,The Red Window,"Hume, Fergus",1859,1932,1904--,1904,45,28
0,308.0,Three Men in a Boat,"Jerome, Jerome K. (Jerome Klapka)",1859,1927,1889--,1889,30,38
1,849.0,The Idle Thoughts of an Idle Fellow,"Jerome, Jerome K. (Jerome Klapka)",1859,1927,1886--,1886,27,41
6,865.0,Passing of the Third Floor Back,"Jerome, Jerome K. (Jerome Klapka)",1859,1927,1904--,1904,45,23
8,867.0,Mrs. Korner Sins Her Mercies,"Jerome, Jerome K. (Jerome Klapka)",1859,1927,1904--,1904,45,23
9,868.0,The Philosopher's Joke,"Jerome, Jerome K. (Jerome Klapka)",1859,1927,1909--,1909,50,18
12,1334.0,Paul Kelver,"Jerome, Jerome K. (Jerome Klapka)",1859,1927,1902--,1902,43,25
13,1915.0,The Second Thoughts of an Idle Fellow,"Jerome, Jerome K. (Jerome Klapka)",1859,1927,1898--,1898,39,29
14,1993.0,Told After Supper,"Jerome, Jerome K. (Jerome Klapka)",1859,1927,1891--,1891,32,36
15,2023.0,Malvina of Brittany,"Jerome, Jerome K. (Jerome Klapka)",1859,1927,1917--,1917,58,10
16,2024.0,Diary of a Pilgrimage,"Jerome, Jerome K. (Jerome Klapka)",1859,1927,1891--,1891,32,36
17,2037.0,Novel Notes,"Jerome, Jerome K. (Jerome Klapka)",1859,1927,1893--,1893,34,34
18,2183.0,Three Men on the Bummel,"Jerome, Jerome K. (Jerome Klapka)",1859,1927,1900-1-1,1900,41,27
19,2195.0,The Master of Mrs. Chilvers: An Improbable Comedy,"Jerome, Jerome K. (Jerome Klapka)",1859,1927,1911--,1911,52,16
20,2231.0,All Roads Lead to Calvary,"Jerome, Jerome K. (Jerome Klapka)",1859,1927,1919--,1919,60,8
21,2234.0,"Sketches in Lavender, Blue and Green","Jerome, Jerome K. (Jerome Klapka)",1859,1927,1897--,1897,38,30
22,2353.0,Tea-Table Talk,"Jerome, Jerome K. (Jerome Klapka)",1859,1927,1903--,1903,44,24
23,2356.0,Tommy and Co.,"Jerome, Jerome K. (Jerome Klapka)",1859,1927,1904--,1904,45,23
26,2525.0,"John Ingerfield, and Other Stories","Jerome, Jerome K. (Jerome Klapka)",1859,1927,1894--,1894,35,33
27,2829.0,Fanny and the Servant Problem,"Jerome, Jerome K. (Jerome Klapka)",1859,1927,1909--,1909,50,18
28,3140.0,Idle Ideas in 1905,"Jerome, Jerome K. (Jerome Klapka)",1859,1927,1905--,1905,46,22
4,1858.0,Plain Tales from the Hills,"Kipling, Rudyard",1865,1936,1888--,1888,23,48
6,2138.0,The Day's Work - Part 01,"Kipling, Rudyard",1865,1936,1898--,1898,33,38
13,2381.0,Actions and Reactions,"Kipling, Rudyard",1865,1936,1909--,1909,44,27
16,2806.0,"The Phantom 'Rickshaw, and Other Ghost Stories","Kipling, Rudyard",1865,1936,1888--,1888,23,48
17,2819.0,Barrack Room Ballads,"Kipling, Rudyard",1865,1936,1900-1-1,1900,35,36
19,2828.0,Under the Deodars,"Kipling, Rudyard",1865,1936,1888-1-1,1888,23,48
20,2876.0,The Light That Failed,"Kipling, Rudyard",1865,1936,1890--,1890,25,46
21,3006.0,Stalky & Co.,"Kipling, Rudyard",1865,1936,1897--,1897,32,39
25,8147.0,The Man Who Would Be King,"Kipling, Rudyard",1865,1936,1888--,1888,23,48
27,9790.0,Traffics and Discoveries,"Kipling, Rudyard",1865,1936,1904--,1904,39,32
32,21777.0,The Years Between,"Kipling, Rudyard",1865,1936,1919--,1919,54,17
34,26027.0,Puck of Pook's Hill,"Kipling, Rudyard",1865,1936,1906--,1906,41,30
35,27870.0,The Seven Seas,"Kipling, Rudyard",1865,1936,1896--,1896,31,40
39,32488.0,Just So Stories,"Kipling, Rudyard",1865,1936,1902--,1902,37,34
40,32772.0,Rewards and Fairies,"Kipling, Rudyard",1865,1936,1910--,1910,45,26
42,34113.0,An Almanac of Twelve Sports,"Kipling, Rudyard",1865,1936,1897--,1897,32,39
43,35555.0,Kim,"Kipling, Rudyard",1865,1936,1901--,1901,36,35
44,35997.0,The Jungle Book,"Kipling, Rudyard",1865,1936,1894--,1894,29,42
46,37364.0,The Second Jungle Book,"Kipling, Rudyard",1865,1936,1895--,1895,30,41
0,738.0,The Puzzle of Dickens's Last Plot,"Lang, Andrew",1844,1912,1905--,1905,61,7
1,1054.0,A Collection of Ballads,"Lang, Andrew",1844,1912,1897--,1897,53,15
2,1060.0,Grass of Parnassus,"Lang, Andrew",1844,1912,1889--,1889,45,23
3,1491.0,Letters to Dead Authors,"Lang, Andrew",1844,1912,1886--,1886,42,26
4,1631.0,"A Monk of Fife: Being the Chronicle Written by Norman Leslie of Pitcullo, Concerning Marvellous Deeds That Befell in the Realm of France, in the Years of Our Redemption, MCCCCXXIX-XXXI","Lang, Andrew",1844,1912,1895--,1895,51,17
8,1991.0,Old Friends: Essays in Epistolary Parody,"Lang, Andrew",1844,1912,1890--,1890,46,22
9,1994.0,Adventures Among Books,"Lang, Andrew",1844,1912,1905--,1905,61,7
15,5127.0,"Shakespeare, Bacon, and the Great Unknown","Lang, Andrew",1844,1912,1912-1-1,1912,68,0
18,17031.0,The Disentanglers,"Lang, Andrew",1844,1912,1902--,1902,58,10
21,21933.0,Much Darker Days,"Lang, Andrew",1844,1912,1884--,1884,40,28
0,461.0,The Quest of the Golden Girl: A Romance,"Le Gallienne, Richard",1866,1947,1896--,1896,30,51
1,3267.0,Old Love Stories Retold,"Le Gallienne, Richard",1866,1947,1904--,1904,38,43
2,10447.0,October Vagabonds,"Le Gallienne, Richard",1866,1947,1910--,1910,44,37
3,10457.0,The Lonely Dancer and Other Poems,"Le Gallienne, Richard",1866,1947,1913--,1913,47,34
4,10812.0,The Worshipper of the Image,"Le Gallienne, Richard",1866,1947,1899--,1899,33,48
5,10826.0,The Book-Bills of Narcissus: An Account Rendered by Richard Le Gallienne,"Le Gallienne, Richard",1866,1947,1891--,1891,25,56
6,10910.0,"Robert Louis Stevenson, an Elegy; and Other Poems","Le Gallienne, Richard",1866,1947,1895--,1895,29,52
8,10922.0,Young Lives,"Le Gallienne, Richard",1866,1947,1899--,1899,33,48
9,10949.0,The Romance of Zion Chapel [3d ed.],"Le Gallienne, Richard",1866,1947,1898--,1898,32,49
10,11675.0,Vanishing Roads and Other Essays,"Le Gallienne, Richard",1866,1947,1915--,1915,49,32
11,14103.0,Prose Fancies (Second Series),"Le Gallienne, Richard",1866,1947,1896--,1896,30,51
12,15025.0,Prose Fancies,"Le Gallienne, Richard",1866,1947,1894--,1894,28,53
13,17619.0,A Jongleur Strayed: Verses on Love and Other Matters Sacred and Profane,"Le Gallienne, Richard",1866,1947,1922--,1922,56,25
14,17741.0,Pieces of Eight: Being the Authentic Narrative of a Treasure Discovered in the Bahama Islands in the Year 1903,"Le Gallienne, Richard",1866,1947,1918--,1918,52,29
15,19313.0,"The Silk-Hat Soldier, and Other Poems in War Time","Le Gallienne, Richard",1866,1947,1915--,1915,49,32
16,41921.0,"The Maker of Rainbows, and Other Fairy-tales and Fables","Le Gallienne, Richard",1866,1947,1912--,1912,46,35
0,4694.0,Mademoiselle of Monte Carlo,"Le Queux, William",1864,1927,1921--,1921,57,6
1,9795.0,The Four Faces: A Mystery,"Le Queux, William",1864,1927,1914--,1914,50,13
2,10102.0,The Czar's Spy: The Mystery of a Silent Love,"Le Queux, William",1864,1927,1905--,1905,41,22
3,10718.0,The House of Whispers,"Le Queux, William",1864,1927,1909--,1909,45,18
5,22720.0,The Minister of Evil: The Secret History of Rasputin's Betrayal of Russia,"Le Queux, William",1864,1927,1918--,1918,54,9
6,25499.0,The Great White Queen: A Tale of Treasure and Treason,"Le Queux, William",1864,1927,1896--,1896,32,31
7,26637.0,The Mystery of the Green Ray,"Le Queux, William",1864,1927,1915--,1915,51,12
8,27147.0,The Stretton Street Affair,"Le Queux, William",1864,1927,1922--,1922,58,5
10,27705.0,The Golden Face: A Great 'Crook' Romance,"Le Queux, William",1864,1927,1922--,1922,58,5
11,28337.0,Hushed Up! A Mystery of London,"Le Queux, William",1864,1927,1911--,1911,47,16
13,30477.0,The Sign of Silence,"Le Queux, William",1864,1927,1915--,1915,51,12
14,30827.0,The Count's Chauffeur,"Le Queux, William",1864,1927,1907--,1907,43,20
16,33298.0,Spies of the Kaiser: Plotting the Downfall of England,"Le Queux, William",1864,1927,1909--,1909,45,18
18,40828.0,The Closed Book: Concerning the Secret of the Borgias,"Le Queux, William",1864,1927,1904--,1904,40,23
24,40835.0,The Pauper of Park Lane,"Le Queux, William",1864,1927,1908--,1908,44,19
27,40994.0,Zoraida: A Romance of the Harem and the Great Sahara,"Le Queux, William",1864,1927,1895--,1895,31,32
28,40995.0,The Zeppelin Destroyer: Being Some Chapters of Secret History,"Le Queux, William",1864,1927,1916--,1916,52,11
29,40996.0,In White Raiment,"Le Queux, William",1864,1927,1900--,1900,36,27
30,40997.0,As We Forgive Them,"Le Queux, William",1864,1927,1904--,1904,40,23
35,41002.0,If Sinners Entice Thee,"Le Queux, William",1864,1927,1898--,1898,34,29
46,41131.0,"Number 70, Berlin: A Story of Britain's Peril","Le Queux, William",1864,1927,1916--,1916,52,11
48,41184.0,Whither Thou Goest,"Le Queux, William",1864,1927,1920--,1920,56,7
49,41185.0,The Voice from the Void: The Great Wireless Mystery,"Le Queux, William",1864,1927,1922--,1922,58,5
50,41186.0,Sant of the Secret Service: Some Revelations of Spies and Spying,"Le Queux, William",1864,1927,1918--,1918,54,9
55,41455.0,The Lady in the Car,"Le Queux, William",1864,1927,1908--,1908,44,19
56,41456.0,Guilty Bonds,"Le Queux, William",1864,1927,1891--,1891,27,36
57,41458.0,The Gay Triangle: The Romance of the First Air Adventurers,"Le Queux, William",1864,1927,1922--,1922,58,5
0,225.0,At the Back of the North Wind,"MacDonald, George",1824,1905,1871--,1871,47,34
2,697.0,The Light Princess,"MacDonald, George",1824,1905,1864--,1864,40,41
3,1640.0,Lilith: A Romance,"MacDonald, George",1824,1905,1895-11-27,1895,71,10
6,2370.0,Sir Gibbie,"MacDonald, George",1824,1905,1879--,1879,55,26
9,5676.0,A Double Story,"MacDonald, George",1824,1905,1875--,1875,51,30
13,5753.0,St. George and St. Michael,"MacDonald, George",1824,1905,1876--,1876,52,29
18,5969.0,What's Mine's Mine — Complete,"MacDonald, George",1824,1905,1886--,1886,62,19
30,8562.0,"The Seaboard Parish, Complete","MacDonald, George",1824,1905,1868--,1868,44,37
32,8886.0,A Rough Shaking,"MacDonald, George",1824,1905,1890--,1890,66,15
34,8902.0,The Flight of the Shadow,"MacDonald, George",1824,1905,1891--,1891,67,14
40,8955.0,Far Above Rubies,"MacDonald, George",1824,1905,1898--,1898,74,7
44,9183.0,Wilfrid Cumbermede,"MacDonald, George",1824,1905,1872--,1872,48,33
46,9393.0,"A Dish of Orts : Chiefly Papers on the Imagination, and on Shakespeare","MacDonald, George",1824,1905,1893--,1893,69,12
47,9471.0,The Vicar's Daughter,"MacDonald, George",1824,1905,1872--,1872,48,33
51,10578.0,A Hidden Life and Other Poems,"MacDonald, George",1824,1905,1864--,1864,40,41
53,18810.0,Alec Forbes of Howglen,"MacDonald, George",1824,1905,1865--,1865,41,40
9,4405.0,The Shaving of Shagpat; an Arabian entertainment — Complete,"Meredith, George",1828,1909,1856--,1856,28,53
16,4412.0,The Ordeal of Richard Feverel — Complete,"Meredith, George",1828,1909,1859--,1859,31,50
24,4420.0,Sandra Belloni (originally Emilia in England) — Complete,"Meredith, George",1828,1909,1864--,1864,36,45
64,4460.0,Beauchamp's Career — Complete,"Meredith, George",1828,1909,1875--,1875,47,34
74,4470.0,Diana of the Crossways — Complete,"Meredith, George",1828,1909,1885--,1885,57,24
80,4476.0,One of Our Conquerors — Complete,"Meredith, George",1828,1909,1891--,1891,63,18
97,4493.0,The Case of General Ople and Lady Camper,"Meredith, George",1828,1909,1890--,1890,62,19
99,4495.0,The House on the Beach: A Realistic Tale,"Meredith, George",1828,1909,1877--,1877,49,32
0,27476.0,The Sign of the Spider,"Mitford, Bertram",1855,1914,1897--,1897,42,17
2,32566.0,The Triumph of Hilary Blachland,"Mitford, Bertram",1855,1914,1901--,1901,46,13
3,32567.0,Forging the Blades: A Tale of the Zulu Rebellion,"Mitford, Bertram",1855,1914,1903--,1903,48,11
4,32568.0,A Frontier Mystery,"Mitford, Bertram",1855,1914,1905--,1905,50,9
6,32893.0,The White Shield,"Mitford, Bertram",1855,1914,1895--,1895,40,19
10,32911.0,The White Hand and the Black: A Story of the Natal Rising,"Mitford, Bertram",1855,1914,1907--,1907,52,7
12,32919.0,Renshaw Fanning's Quest: A Tale of the High Veldt,"Mitford, Bertram",1855,1914,1894--,1894,39,20
14,32925.0,The King's Assegai: A Matabili Story,"Mitford, Bertram",1855,1914,1894--,1894,39,20
24,36606.0,The Ruby Sword: A Romance of Baluchistan,"Mitford, Bertram",1855,1914,1899--,1899,44,15
1,778.0,Five Children and It,"Nesbit, E. (Edith)",1858,1924,1902--,1902,44,22
2,794.0,The Wouldbegoods: Being the Further Adventures of the Treasure Seekers,"Nesbit, E. (Edith)",1858,1924,1901--,1901,43,23
3,836.0,The Phoenix and the Carpet,"Nesbit, E. (Edith)",1858,1924,1904--,1904,46,20
4,837.0,The Story of the Amulet,"Nesbit, E. (Edith)",1858,1924,1906--,1906,48,18
5,1874.0,The Railway Children,"Nesbit, E. (Edith)",1858,1924,1906--,1906,48,18
8,9385.0,The Incomplete Amorist,"Nesbit, E. (Edith)",1858,1924,1906--,1906,48,18
9,28804.0,Oswald Bastable and Others,"Nesbit, E. (Edith)",1858,1924,1905--,1905,47,19
12,40321.0,Grim Tales,"Nesbit, E. (Edith)",1858,1924,1893--,1893,35,31
13,41354.0,The Incredible Honeymoon,"Nesbit, E. (Edith)",1858,1924,1916-10-1,1916,58,8
2,10051.0,The Little Pilgrim: Further Experiences.: Stories of the Seen and the Unseen.,"Oliphant, Mrs. (Margaret)",1828,1897,1888--,1888,60,9
3,10052.0,"The Open Door, and the Portrait.: Stories of the Seen and the Unseen.","Oliphant, Mrs. (Margaret)",1828,1897,1881--,1881,53,16
4,11521.0,"A Beleaguered City: Being a Narrative of Certain Recent Events in the City of Semur, in the Department of the Haute Bourgogne. A Story of the Seen and the Unseen","Oliphant, Mrs. (Margaret)",1828,1897,1869--,1869,41,28
5,15410.0,A Little Pilgrim in the Unseen,"Oliphant, Mrs. (Margaret)",1828,1897,1882--,1882,54,15
6,28006.0,The Perpetual Curate,"Oliphant, Mrs. (Margaret)",1828,1897,1864--,1864,36,33
7,28629.0,"Phoebe, Junior","Oliphant, Mrs. (Margaret)",1828,1897,1876--,1876,48,21
8,28637.0,The Marriage of Elinor,"Oliphant, Mrs. (Margaret)",1828,1897,1892--,1892,64,5
13,41286.0,Miss Marjoribanks,"Oliphant, Mrs. (Margaret)",1828,1897,1865--,1865,37,32
19,43811.0,"Merkland; or, Self Sacrifice","Oliphant, Mrs. (Margaret)",1828,1897,1854--,1854,26,43
0,1314.0,The Malefactor,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1905--,1905,39,41
1,1442.0,The Kingdom of the Blind,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1916--,1916,50,30
2,1447.0,The Illustrious Prince,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1910--,1910,44,36
4,1849.0,The Yellow Crayon,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1903--,1903,37,43
5,1878.0,A Millionaire of Yesterday,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1907--,1907,41,39
6,1931.0,The Zeppelin's Passenger,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1918--,1918,52,28
7,1976.0,Peter Ruff and the Double Four,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1912--,1912,46,34
9,2767.0,The Devil's Paw,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1912--,1912,46,34
10,4233.0,Jeanne of the Marshes,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1909--,1909,43,37
11,5091.0,The Tempting of Tavernake,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1912--,1912,46,34
12,5743.0,The Evil Shepherd,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1922--,1922,56,24
13,5815.0,The Great Impersonation,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1920--,1920,54,26
14,8878.0,The Mischief-Maker,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1913--,1913,47,33
15,9664.0,An Amiable Charlatan,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1915--,1915,49,31
16,9836.0,The Pawns Count,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1918--,1918,52,28
19,9923.0,The Box with Broken Seals,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1919--,1919,53,27
21,10534.0,The Double Traitor,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1915--,1915,49,31
23,10575.0,The Profiteers,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1921--,1921,55,25
24,13123.0,The Great Prince Shan,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1922--,1922,56,24
25,13369.0,"The Lost Ambassador; Or, The Search For The Missing Delora","Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1910--,1910,44,36
26,15893.0,The Lighted Way,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1912--,1912,46,34
27,16971.0,A Prince of Sinners,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1903--,1903,37,43
30,17063.0,A Lost Leader,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1907--,1907,41,39
31,17103.0,The Double Life Of Mr. Alfred Burton,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1913--,1913,47,33
34,17356.0,Nobody's Man,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1921--,1921,55,25
36,20611.0,Mr. Grex of Monte Carlo,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1915--,1915,49,31
37,26596.0,Anna the Adventuress,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1904--,1904,38,42
40,28161.0,The Master Mummer,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1904--,1904,38,42
43,30811.0,The Moving Finger,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1911--,1911,45,35
44,31535.0,A Monk of Cruta,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1894--,1894,28,52
48,34035.0,The Hillman,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1917--,1917,51,29
50,35361.0,The Wicked Marquis,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1919-1-1,1919,53,27
51,35661.0,Mysterious Mr. Sabin,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1898--,1898,32,48
52,39018.0,Mr. Marx's Secret,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1899--,1899,33,47
55,45636.0,Stolen Idols,"Oppenheim, E. Phillips (Edward Phillips)",1866,1946,1925--,1925,59,21
2,10548.0,The Westcotes,"Quiller-Couch, Arthur",1863,1944,1902--,1902,39,42
4,12316.0,True Tilda,"Quiller-Couch, Arthur",1863,1944,1909--,1909,46,35
5,12923.0,The Laird's Luck and Other Fireside Tales,"Quiller-Couch, Arthur",1863,1944,1901--,1901,38,43
6,13799.0,Old Fires and Profitable Ghosts: A Book of Stories,"Quiller-Couch, Arthur",1863,1944,1900--,1900,37,44
10,15228.0,Lady Good-for-Nothing: A Man's Portrait of a Woman,"Quiller-Couch, Arthur",1863,1944,1910--,1910,47,34
12,15710.0,"Nicky-Nan, Reservist","Quiller-Couch, Arthur",1863,1944,1915--,1915,52,29
14,16000.0,The Ship of Stars,"Quiller-Couch, Arthur",1863,1944,1899--,1899,36,45
15,16194.0,Corporal Sam and Other Stories,"Quiller-Couch, Arthur",1863,1944,1910--,1910,47,34
17,16890.0,Hetty Wesley,"Quiller-Couch, Arthur",1863,1944,1903--,1903,40,41
19,17263.0,The Astonishing History of Troy Town,"Quiller-Couch, Arthur",1863,1944,1888--,1888,25,56
20,17842.0,Dead Man's Rock,"Quiller-Couch, Arthur",1863,1944,1887--,1887,24,57
21,18577.0,News from the Duchy,"Quiller-Couch, Arthur",1863,1944,1913--,1913,50,31
23,19114.0,Foe-Farrell,"Quiller-Couch, Arthur",1863,1944,1918--,1918,55,26
24,19751.0,The Mayor of Troy,"Quiller-Couch, Arthur",1863,1944,1906--,1906,43,38
25,19977.0,The Blue Pavilions,"Quiller-Couch, Arthur",1863,1944,1891--,1891,28,53
26,20261.0,The Adventures of Harry Revel,"Quiller-Couch, Arthur",1863,1944,1903--,1903,40,41
27,20612.0,Fort Amity,"Quiller-Couch, Arthur",1863,1944,1904--,1904,41,40
28,20863.0,Major Vigoureux,"Quiller-Couch, Arthur",1863,1944,1907--,1907,44,37
29,20979.0,Brother Copas,"Quiller-Couch, Arthur",1863,1944,1911--,1911,48,33
31,23217.0,The Roll-Call Of The Reef,"Quiller-Couch, Arthur",1863,1944,1911--,1911,48,33
32,23647.0,Shining Ferry,"Quiller-Couch, Arthur",1863,1944,1905--,1905,42,39
1,1159.0,Fire-Tongue,"Rohmer, Sax",1883,1959,1921--,1921,38,38
3,1183.0,The Return of Dr. Fu-Manchu,"Rohmer, Sax",1883,1959,1916--,1916,33,43
4,2028.0,The Yellow Claw,"Rohmer, Sax",1883,1959,1915--,1915,32,44
5,2126.0,The Quest of the Sacred Slipper,"Rohmer, Sax",1883,1959,1914--,1914,31,45
6,5697.0,Tales of Chinatown,"Rohmer, Sax",1883,1959,1922--,1922,39,37
7,6382.0,Bat Wing,"Rohmer, Sax",1883,1959,1921--,1921,38,38
8,15323.0,The Green Eyes of Bâst,"Rohmer, Sax",1883,1959,1920-6-,1920,37,39
10,18613.0,The Golden Scorpion,"Rohmer, Sax",1883,1959,1919--,1919,36,40
12,19706.0,Brood of the Witch-Queen,"Rohmer, Sax",1883,1959,1918--,1918,35,41
13,21879.0,The Sins of Séverac Bablon,"Rohmer, Sax",1883,1959,1914--,1914,31,45
14,27461.0,The Orchard of Tears,"Rohmer, Sax",1883,1959,1918--,1918,35,41
15,40108.0,Tales of Secret Egypt,"Rohmer, Sax",1883,1959,1918--,1918,35,41
0,82.0,Ivanhoe: A Romance,"Scott, Walter",1771,1832,1819--,1819,48,13
1,471.0,The Bride of Lammermoor,"Scott, Walter",1771,1832,1819--,1819,48,13
3,1460.0,The Black Dwarf,"Scott, Walter",1771,1832,1816--,1816,45,16
4,1461.0,A Legend of Montrose,"Scott, Walter",1771,1832,1819--,1819,48,13
5,1606.0,Kenilworth,"Scott, Walter",1771,1832,1821--,1821,50,11
11,2590.0,Guy Mannering,"Scott, Walter",1771,1832,1815--,1815,44,17
16,4966.0,Waverley; Or 'Tis Sixty Years Since — Complete,"Scott, Walter",1771,1832,1814--,1814,43,18
21,5950.0,The Fortunes of Nigel,"Scott, Walter",1771,1832,1822--,1822,51,10
22,5959.0,Peveril of the Peak,"Scott, Walter",1771,1832,1822-1-23,1822,51,10
26,6406.0,The Monastery,"Scott, Walter",1771,1832,1820--,1820,49,12
36,6944.0,"The Heart of Mid-Lothian, Complete","Scott, Walter",1771,1832,1818--,1818,47,14
43,7853.0,Quentin Durward,"Scott, Walter",1771,1832,1823-5-17,1823,52,9
50,20749.0,St. Ronan's Well,"Scott, Walter",1771,1832,1824--,1824,53,8
51,28287.0,The Lady of the Lake,"Scott, Walter",1771,1832,1810--,1810,39,22
52,42389.0,The Pirate: Andrew Lang Edition,"Scott, Walter",1771,1832,1821-12-1,1821,50,11
1,1041.0,Shakespeare's Sonnets,"Shakespeare, William",1564,1616,1592--,1592,28,24
2,1045.0,Venus and Adonis,"Shakespeare, William",1564,1616,1592--,1592,28,24
5,1102.0,The Third Part of King Henry the Sixth,"Shakespeare, William",1564,1616,1591--,1591,27,25
8,1105.0,The Sonnets,"Shakespeare, William",1564,1616,1592--,1592,28,24
15,1112.0,The Tragedy of Romeo and Juliet,"Shakespeare, William",1564,1616,1595--,1595,31,21
20,1117.0,Second Part of King Henry IV,"Shakespeare, William",1564,1616,1597--,1597,33,19
30,1127.0,"The Tragedy of Othello, Moor of Venice","Shakespeare, William",1564,1616,1603--,1603,39,13
32,1129.0,The Tragedy of Macbeth,"Shakespeare, William",1564,1616,1606--,1606,42,10
41,1500.0,"King Henry VI, First Part","Shakespeare, William",1564,1616,1590--,1590,26,26
42,1501.0,"History of King Henry the Sixth, Second Part","Shakespeare, William",1564,1616,1590--,1590,26,26
43,1502.0,"The History of King Henry the Sixth, Third Part","Shakespeare, William",1564,1616,1591--,1591,27,25
44,1503.0,The Tragedy of King Richard III,"Shakespeare, William",1564,1616,1591--,1591,27,25
47,1506.0,The Rape of Lucrece,"Shakespeare, William",1564,1616,1594--,1594,30,22
53,1512.0,The Tragedy of King Richard the Second,"Shakespeare, William",1564,1616,1603--,1603,39,13
57,1516.0,"King Henry IV, the First Part","Shakespeare, William",1564,1616,1597--,1597,33,19
59,1518.0,"King Henry IV, Second Part","Shakespeare, William",1564,1616,1597--,1597,33,19
66,1525.0,The Phoenix and the Turtle,"Shakespeare, William",1564,1616,1601--,1601,37,15
